Capacitance/epsilon0 pul = 6.947938596744178
node   Potential
1  0.4403081033188615
2  0.44023628263057457
3  0.44014705064011933
4  0.4401189785649977
5  0.44017637912810476
6  0.44031530733523155
7  0.4404988747096265
8  0.4406178279681953
9  0.4404988747096264
10  0.4403153073352315
11  0.44017637912810464
12  0.4401189785649977
13  0.4401470506401194
14  0.4402362826305745
15  0.4403081033188615
16  0.4402362826305746
17  0.44014705064011944
18  0.44011897856499776
19  0.44017637912810476
20  0.4403153073352315
21  0.44049887470962645
22  0.4406178279681952
23  0.44049887470962645
24  0.4403153073352314
25  0.4401763791281047
26  0.4401189785649979
27  0.4401470506401195
28  0.4402362826305746
29  0.7549514320823222
30  0.7549611323308522
31  0.7549758337115209
32  0.7549915050046367
33  0.7550101595129499
34  0.7550319716454159
35  0.7550530601377636
36  0.7550663738302736
37  0.7550685948025628
38  0.7550663738302735
39  0.7550530601377635
40  0.7550319716454158
41  0.7550101595129498
42  0.7549915050046369
43  0.7549758337115209
44  0.7549611323308523
45  0.754951432082322
46  0.7549611323308522
47  0.754975833711521
48  0.7549915050046369
49  0.75501015951295
50  0.7550319716454159
51  0.7550530601377634
52  0.7550663738302733
53  0.7550685948025625
54  0.7550663738302732
55  0.7550530601377634
56  0.7550319716454161
57  0.75501015951295
58  0.7549915050046369
59  0.754975833711521
60  0.7549611323308524
